TimeStamp, Source,LogType,Description
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Default.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Default.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Templatize.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Templatize.asp
05.15 14:48.37, Reporter,Info,[low] ASP.NET version disclosure "/"
05.15 14:48.37, Reporter,Info,[info] Microsoft IIS version disclosure "/"
05.15 14:48.37, ScriptExecThread(9),Info,Per server script "ASP_NET_Error_Message.script" finished in 593 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(9),Info,Per server script "ColdFusion_Audit.script" starting
05.15 14:48.37, ScriptExecThread(5),Info,Per server script "ASP_NET_Forms_Authentication_Bypass.script" finished in 358 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(5),Info,Per server script "ColdFusion_User_Agent_XSS.script" starting
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Login.asp?RetURL=/Default.asp%3F
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Processing file /Login.asp (variation 1)
05.15 14:48.38, Reporter,Info,[info] Password type input with auto-complete enabled "/Login.asp (268e72716f4f02ac674a53a98217c612)"
05.15 14:48.38, Reporter,Info,[medium] User credentials are sent in clear text "/Login.asp (268e72716f4f02ac674a53a98217c612)"
05.15 14:48.38, Reporter,Info,[medium] HTML form without CSRF protection "/Login.asp (268e72716f4f02ac674a53a98217c612)"
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.38, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/Login.asp
