TimeStamp, Source,LogType,Description
05.15 16:51.53, ScriptExecThread(5),Info,Per server script "Barracuda_locale_Directory_Traversal.script" starting
05.15 16:51.53, ScriptExecThread(9),Info,Per server script "ASP_NET_Forms_Authentication_Bypass.script" finished in 93 ms. Request count: 1. Status: 0
05.15 16:51.53, ScriptExecThread(9),Info,Per server script "Bash_RCE_Server_Audit.script" starting
05.15 16:51.53, ScriptExecThread(3),Info,Per server script "Arbitrary_file_existence_disclosure_in_Action_Pack.script" finished in 172 ms. Request count: 1. Status: 0
05.15 16:51.53, ScriptExecThread(3),Info,Per server script "Clickjacking_X_Frame_Options.script" starting
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/anli.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /anli.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/anli.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/anli.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/anli.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2016/12/27/%E7%94%A8%E6%B0%B4%E8%AE%A1%E5%88%92%E7%94%B3%E8%AF%B7%E8%A1%A8%E5%8F%8A%E8%B0%83%E6%95%B4%E8%A1%A8.doc
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012/06
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012/06/27
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012/06/27/jieshuiliucheng(3).doc
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2016
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2016/12
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2016/12/27
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/news.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /news.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /
05.15 16:51.53, Reporter,Info,[low] Clickjacking: X-Frame-Options header missing "Web Server"
05.15 16:51.53, ScriptExecThread(3),Info,Per server script "Clickjacking_X_Frame_Options.script" finished in 358 ms. Request count: 1. Status: 0
05.15 16:51.53, ScriptExecThread(3),Info,Per server script "ClientAccessPolicy_XML.script" starting
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/news.asp?class=33&id=488
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /news.asp (variation 1)
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/news.asp?class=33&id=485
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /news.asp (variation 2)
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.53, ScriptExecThread(3),Info,Per server script "ClientAccessPolicy_XML.script" finished in 219 ms. Request count: 2. Status: 0
05.15 16:51.53, ScriptExecThread(3),Info,Per server script "ColdFusion_Audit.script" starting
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/news.asp?class=33&id=534
05.15 16:51.53, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /news.asp (variation 3)
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/news.asp?class=2&id=565
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /news.asp (variation 4)
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_Audit.script" finished in 187 ms. Request count: 2. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_User_Agent_XSS.script" starting
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/about.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /about.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/about.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/about.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/about.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012/04
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile/2012/04/28
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_User_Agent_XSS.script" finished in 78 ms. Request count: 1. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_v8_File_Upload.script" starting
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/liuyan.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /liuyan.asp
05.15 16:51.54, Reporter,Info,[medium] HTML form without CSRF protection "/liuyan.asp"
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/pub/saveGuestbookAdd.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/pub/saveGuestbookAdd.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/contact.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/contact.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/contact.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/liuyanlist.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/pub
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_v8_File_Upload.script" finished in 125 ms. Request count: 1. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_v9_Solr_Exposed.script" starting
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/service.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /service.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/service.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/service.asp
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "ColdFusion_v9_Solr_Exposed.script" finished in 47 ms. Request count: 1. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "CoreDumpCheck.script" starting
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "CoreDumpCheck.script" finished in 78 ms. Request count: 1. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "CRLF_Injection_PerServer.script" starting
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/index.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /index.asp
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "CRLF_Injection_PerServer.script" finished in 202 ms. Request count: 1. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "Crossdomain_XML.script" starting
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/newslist.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /newslist.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/uploadfile
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/uploadfile/
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /uploadfile
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "Crossdomain_XML.script" finished in 63 ms. Request count: 1. Status: 0
05.15 16:51.54, ScriptExecThread(3),Info,Per server script "Database_Backup.script" starting
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/products.asp?bid=40
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /products.asp (variation 2)
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/products.asp?bid=39
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /products.asp (variation 3)
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.54, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/productshow.asp
