TimeStamp, Source,LogType,Description
09.30 05:18.46, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
09.30 05:18.46, Crawler,Info,[TCrawler : $0B50C9C0] Structure initialized
09.30 05:18.46, Site_Structure,Info,Site_File unit instances (after reinit):
09.30 05:18.46, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
09.30 05:18.46, Crawler,Info,[TCrawler : $0B50C9C0] Crawling started, URL: http://yilinhb.com/
09.30 05:18.46, Crawler,Info,[TCrawler : $0B50C9C0] Crawler:  http://yilinhb.com/ State transition: CS_INITIALIZED -> CS_RUNNING
09.30 05:18.46, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/
09.30 05:18.46, Crawler,Info,[TCrawler : $0B50C9C0] Crawler:  http://yilinhb.com/ State transition: CS_RUNNING -> CS_DETECT404
09.30 05:18.48, Crawler,Info,Auto custom 404 page detector done.
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Crawler:  http://yilinhb.com/ State transition: CS_DETECT404 -> CS_RUNNING
09.30 05:18.48, ScriptExecThread(1),Info,Per server script "AJP_Audit.script" starting
09.30 05:18.48, ScriptExecThread(3),Info,Per server script "Amazon_S3_Ping.script" starting
09.30 05:18.48, ScriptExecThread(5),Info,Per server script "Apache_Axis2_Audit.script" starting
09.30 05:18.48, ScriptExecThread(7),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" starting
09.30 05:18.48, ScriptExecThread(9),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" starting
09.30 05:18.48, ScriptExecThread(2),Info,Per server script "Apache_mod_negotiation_Filename_Bruteforcing.script" starting
09.30 05:18.48, ScriptExecThread(6),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" starting
09.30 05:18.48, ScriptExecThread(0),Info,Per server script "Apache_Roller_Audit.script" starting
09.30 05:18.48, ScriptExecThread(4),Info,Per server script "Apache_Running_As_Proxy.script" starting
09.30 05:18.48, ScriptExecThread(8),Info,Per server script "Apache_Server_Information.script" starting
09.30 05:18.48, ScriptExecThread(4),Info,Per server script "Apache_Running_As_Proxy.script" finished in 140 ms. Request count: 1. Status: 0
09.30 05:18.48, ScriptExecThread(4),Info,Per server script "Apache_Solr_Exposed.script" starting
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/favicon.ico
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/robots.txt
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Request done, http://yilinhb.com/
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Processing file /
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/english
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/kaiceseo/login.asp
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/css/yilinhuanbao.css
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/js2015
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/js2015/DD_belatedPNG_0.0.8a-min.js
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/3gimages/3gtiao.js
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/html
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/kaiceseo
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/css
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/images
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/html/lxwm
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/html/gywm
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/UploadFiles
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/UploadFiles/2017-09
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/UploadFiles/2017-09/0
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/UploadFiles/2017-05
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/UploadFiles/2017-05/0
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/3gimages
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Crawler:  http://yilinhb.com/ State transition: CS_RUNNING -> CS_LOGIN
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Crawler:  http://yilinhb.com/ State transition: CS_LOGIN -> CS_RUNNING
09.30 05:18.48, ScriptExecThread(6),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" finished in 187 ms. Request count: 1. Status: 0
09.30 05:18.48, ScriptExecThread(7),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" finished in 187 ms. Request count: 1. Status: 0
09.30 05:18.48, ScriptExecThread(7),Info,Per server script "Apache_XSS_via_Malformed_Method.script" starting
09.30 05:18.48, ScriptExecThread(6),Info,Per server script "Apache_Unfiltered_Expect_Header_Injection.script" starting
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Request done, http://yilinhb.com/english
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/english/
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Processing file /english
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Request done, http://yilinhb.com/favicon.ico
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/sitemap.xml
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Added request for URL http://yilinhb.com/sitemap.xml.gz
09.30 05:18.48, Crawler,Info,[TCrawler : $0B50C9C0] Request done, http://yilinhb.com/robots.txt
09.30 05:18.48, ScriptExecThread(9),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" finished in 296 ms. Request count: 1. Status: 0
09.30 05:18.48, ScriptExecThread(9),Info,Per server script "Arbitrary_file_existence_disclosure_in_Action_Pack.script" starting
